名称,省份,位置,音阶,调式,协和度,曲折度,节奏变化,平均音长,0,1,2,3,4,5,6,7,8,9,10,11,12
日出东方满天霞,江苏省,扬州市,五声,徵调,0.4344,2.485686426,0.49509311,2.56,0,0.26,0,0.18,0,0.12,0,0,0.24,0,0.2,0,0
日出东方红似火,江苏省,海安县,五声,宫调,0.417664671,6.655899111,1.299049467,2.35915493,0.034013605,0.163265306,0,0.272108844,0,0.142857143,0,0,0.210884354,0,0.176870748,0,0
早上下田天气晴,江苏省,仪征市,五声,徵调,0.463186813,2.467848402,0.940497145,2.983606557,0.031746032,0.222222222,0,0.26984127,0,0.111111111,0,0,0.158730159,0,0.206349206,0,0
春天到了百花香,江苏省,宝应县,六声,商调,0.37,2.581696798,0.637377439,2.666666667,0,0.125,0,0.166666667,0,0.041666667,0.125,0,0.25,0,0.291666667,0,0
春耕生产忙,江苏省,六合县,五声,徵调,0.265562914,4.376419187,0.807363103,1.617021277,0.069306931,0.217821782,0,0.178217822,0,0.198019802,0,0,0.198019802,0,0.138613861,0,0
望望日头望望天(二),江苏省,常州市,六声,羽调,0.372,3.620769598,0.740591962,1.948717949,0.025,0.075,0,0.225,0,0.1,0,0,0.15,0,0.3,0,0.125
望望槐花几时开,江苏省,高邮市,五声,徵调,0.319354839,2.303361069,0.959252842,1.969230769,0.015151515,0.106060606,0,0.196969697,0,0.196969697,0,0,0.303030303,0,0.181818182,0,0
望郎(二),江苏省,昆山市,五声,羽调,0.321428571,3.806456117,0.56859693,2.93877551,0.039215686,0.098039216,0,0.117647059,0,0.098039216,0,0,0.274509804,0,0.37254902,0,0
正月十五闹花灯,江苏省,江宁县,五声,商调,0.389240506,4.328440694,1.01704228,2.666666667,0,0.2,0,0.2,0,0.2,0,0,0.183333333,0,0.216666667,0,0
正月梅花朵朵开,江苏省,武进市,五声,羽调,0.398947368,3.506918768,0.760773318,1.92,0,0.2,0,0.22,0,0.18,0,0,0.27,0,0.13,0,0
